0.23, 9999999999999900, 80, 7770, true, 66666600, 90.87654, '0binary123', '0nchar123'
1.23, 9999999999999911, 81, 7771, true, 66666611, 91.87654, '1binary123', '1nchar123'
2.23, 9999999999999922, 82, 7772, true, 66666622, 92.87654, '2binary123', '2nchar123'
3.23, 9999999999999933, 83, 7773, true, 66666633, 93.87654, '3binary123', '3nchar123'
4.23, 9999999999999944, 84, 7774, true, 66666644, 94.87654, '4binary123', '4nchar123'
5.23, 9999999999999955, 85, 7775, true, 66666655, 95.87654, '5binary123', '5nchar123'
6.23, 9999999999999966, 86, 7776, true, 66666666, 96.87654, '6binary123', '6nchar123'
7.23, 9999999999999977, 87, 7777, true, 66666677, 97.87654, '7binary123', '7nchar123'
8.23, 9999999999999988, 88, 7778, true, 66666688, 98.87654, '8binary123', '8nchar123'
9.23, 9999999999999999, 89, 7779, true, 66666699, 99.87654, '9binary123', '9nchar123'






