990.23, 369900, 90, 6770, true,  66666600, 90.87654, '0binaryTag', '0ncharTag'
991.23, 369911, 91, 6771, false, 66666611, 91.87654, '1binaryTag', '1ncharTag'
992.23, 369922, 92, 6772, true,  66666622, 92.87654, '2binaryTag', '2ncharTag'
993.23, 369933, 93, 6773, false, 66666633, 93.87654, '3binaryTag', '3ncharTag'
994.23, 369944, 94, 6774, true,  66666644, 94.87654, '4binaryTag', '4ncharTag'
995.23, 369955, 95, 6775, false, 66666655, 95.87654, '5binaryTag', '5ncharTag'
996.23, 369966, 96, 6776, true,  66666666, 96.87654, '6binaryTag', '6ncharTag'
997.23, 369977, 97, 6777, false, 66666677, 97.87654, '7binaryTag', '7ncharTag'
998.23, 369988, 98, 6778, true,  66666688, 98.87654, '8binaryTag', '8ncharTag'
999.23, 369999, 99, 6779, false, 66666699, 99.87654, '9binaryTag', '9ncharTag'






